BPS_School_Name,BPS_Historical_Name,BPS_Address,BPS_Grades_Offered,BPS_Property_Status,BPS_Total_GSF,BPS_GSF,BPS_Year_Founded ,BPS_Year_Built,BPS_Plans,BPS_KWH, BPS_Electric_Bill ,BPS_Therms, BPS_Gas_Bill ,BPS_Water_ft_cubic, BPS_Water_Bill , BPS_Total_Energy_Cost ,SMMA_FA_Status,SMMA_FA_School_Enrollment,SMMA_FA_Enrollment_Building,SMMA_FA_Major_Investments,SMMA_FA_Existing_PV,SMMA_FA_space_Solar,SMMA_FA_Roof_Membrane,SMMA_FA_Facade,SMMA_FA_,SMMA_FA_Boilers,SMMA_FA_Heating_Distribution_Systems,SMMA_FA_Ventilation_Distribution_Systems,SMMA_FA_Electrical_Service,SMMA_FA_Means_Egress,SMMA_FA_FP_Sprinklers,SMMA_FA_Life_Safety,SMMA_FA_Security_Entry,SMMA_FA_Lighting_Quantity_Control,SMMA_FA_Toilets_Fixtures,SMMA_FA_Plumbing_Distribution_Systems,SMMA_FA_Accessibility,SMMA_FA_Deterioration_Roof,SMMA_FA_Deterioration_Floor,SMMA_FA_Deterioration_Walls_Columns,SMMA_FA_Deterioration_Foundations,SMMA_FA_Deterioration_Facade,SMMA_FA_lateral_system_identifiable,SMMA_FA_Overall_Building_Condition,SMMA_FA_MHC_Inventory,SMMA_FA_MHC_Register,SMMA_FA_Emergency_Shelter,SMMA_FA_Community_Use_spaces,SMMA_FA_Overall_Community_Building,SMMA_FA_Building_suitability_school,SMMA_FA_susceptible_climate_change_now,SMMA_FA_susceptible_climate_change_2100,SMMA_FA_site_major_investments_10__years,SMMA_FA_building_expandable_current_site,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_DropOff_PickUp,SMMA_FA_Walkways_Curbs_Sidewalks,SMMA_FA_MAABADA_Accessibility,SMMA_FA_Site_Lighting,SMMA_FA_Fencing,SMMA_FA_Drainage,SMMA_FA_Play_Areas,SMMA_FA_Walls_Slopes,SMMA_FA_Overall_Site_Condition,SMMA_FA_MHC_Archaeological_Assets,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_FA_Site_suitability_school
"Edison, Thomas A. K-8",Edison Middle,"60 Glenmont Rd Brighton, MA 02135",K0-8,Owned,100500,100500,1932,1932,"CAD plans, site plans",267936,"$43,091.00",53055,"$60,369.00",127140,"$16,164.00","$119,624.00",Phase 3,765,765,Yes,No,Yes,Minor,Adequate,Minor,Adequate,Moderate,Moderate,Moderate,Minor,Not Present,Adequate,Moderate,Minor,Adequate,Minor,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Deficient,Yes,No,No,Yes,Yes,Minor,Moderate,Moderate,Adequate,Replace,Not Present,Replace,Moderate,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Edwards, Clarence R. Middle",Edwards Middle,"28 Walker St Charlestown, MA 02129",06-ago,Owned,81655,81655,1932,1932,"CAD plans, site plans",251056,"$40,424.00",27949,"$39,855.00",85160,"$10,801.00","$91,080.00",Phase 3,366,366,Yes,No,Yes,Minor,Adequate,Moderate,Adequate,Adequate,Minor,Adequate,Moderate,Not Present,Adequate,Moderate,Minor,Moderate,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Yes,Good,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Replace,Moderate,Moderate,Replace,Not Present,Not Present,Replace,Replace,Replace,Moderate,Poor,Not Researched,Yes,Yes,Yes,Poor,Yes
"Eliot, John K-8 (Lower School)",Eliot Elementary,"16 Charter St Boston, MA 02113",K0-1,Owned,34603,34603,1932,1932,"CAD plans, site plans",117120,"$16,893.00",13001,"$20,511.00",58150,"$7,290.00","$44,694.00",Phase 3,517,190,Yes,No,Yes,Not Present,Adequate,Minor,Minor,Moderate,Moderate,Moderate,Moderate,Not Present,Minor,Moderate,Minor,Replace,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,No,Fair,Yes,No,No,No,No,Replace,Minor,Moderate,Minor,Not Present,Minor,Adequate,Moderate,Minor,Adequate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Eliot, John K-8 (Upper School)",,"585 Commercial Street Boston, MA 02109",02-ago,Owned,39294,39294,,1872,"CAD plans, site plans",251260,"$53,603.00",0, $-   ,15790,"$2,607.00","$56,210.00",Phase 3,517,327,No,No,Yes,Replace,Adequate,Adequate,Replace,Adequate,Moderate,Adequate,Adequate,Moderate,Adequate,Adequate,Adequate,Minor,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Not Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,No,Moderate,Minor,Moderate,Moderate,Minor,Moderate,Minor,Moderate,Not Present,Not Present,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Eliot, John K-8 (Upper School) - (In Construction)",W Bennet St. School,"150 North Street Boston, MA 02109",None,In Construction,,,,2018,"CAD plans, site plans",,,,,,, $-   ,Not Assessed,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Not Assessed,,,,,Not Assessed,,,,,,,,,,,,,,,,Not Assessed,Not Researched,,,,Not Assessed,
"Ellis, David A. Elementary",Ellis Elementary,"302 Walnut Ave Roxbury, MA 02119",K1-5,Owned,51123,51123,1932,1932,"Program plans, MSBA space comparison plans, CAD plans, site plans",124120,"$20,022.00",19893,"$30,013.00",68750,"$8,607.00","$58,642.00",Phase 2,444,444,Yes,No,Yes,Minor,Minor,Replace,Moderate,Replace,Not Present,Replace,Moderate,Not Present,Adequate,Minor,Minor,Adequate,Minor,Not Present,Not Observed,Yes,Yes,Not Observed,Yes,No,Fair,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Replace,Adequate,Moderate,Moderate,Replace,Replace,Minor,Minor,Minor,Moderate,Fair,Not Researched,No,Yes,Yes,Fair,Yes
Ellison/Parks Early Education School,Mattapan EEC,"108 Babson St Mattapan, MA 02126",K0-3,Owned,36820,36820,1998,1998,"CAD plans, site plans",286716,"$50,820.00",15747,"$18,191.00",60020,"$7,571.00","$76,582.00",Phase 3,189,189,Yes,No,Yes,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,No,No,Yes,Adequate,Adequate,Adequate,Minor,Adequate,Minor,Adequate,Moderate,Minor,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Endicott,Endicott,"2 McLellan St, Boston, MA 02121",None,Closed,21560,21560,1906,1906,"CAD plans, site plans",,,,,,, $-   ,Phase 3,0,0,No,No,No,Not Present,Minor,Minor,Adequate,Moderate,Minor,Minor,Minor,Not Present,Adequate,Moderate,Minor,Moderate,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Minor,Minor,Replace,Minor,Not Present,Moderate,Moderate,Minor,Minor,Minor,Fair,Not Researched,Yes,No,Yes,Fair,Yes
"English High, The",English High,"144 McBride St Jamaica Plain, MA 02130",09-dic,Owned,225560,225560,1821,1979,"Program plans, MSBA space comparison plans, CAD plans, site plans",621720,"$158,590.00",199318,"$197,335.00",226150,"$30,182.00","$386,107.00",Phase 2,586,586,Yes,No,Yes,Minor,Moderate,Replace,Adequate,Moderate,Minor,Adequate,Minor,Not Present,Adequate,Minor,Adequate,Adequate,Adequate,Minor,Not Observed,Not Observed,Yes,Not Observed,Not Observed,No,Good,Not Listed,Not Listed,No,No,Fair,Yes,No,No,No,Yes,Minor,Adequate,Minor,Minor,Minor,Moderate,Moderate,Minor,Moderate,Minor,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Everett, Edwards Elementary",Everett Elementary,"71 Pleasant St Dorchester, MA 02125",K0-5,Owned,30634,30634,1908,1909,"CAD plans, site plans",101876,"$15,870.00",13758,"$16,350.00",28640,"$3,444.00","$35,664.00",Phase 3,275,275,Yes,No,No,Replace,Minor,Minor,Moderate,Replace,Replace,Moderate,Moderate,Not Present,Minor,Moderate,Moderate,Replace,Replace,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Yes,No,Fair,Not Listed,Not Listed,No,No,Poor,No,No,No,No,No,Minor,Adequate,Minor,Minor,Not Present,Minor,Adequate,Minor,Adequate,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Excel High,South Boston Ed Complex,"95 G St South Boston, MA 02127",09-dic,Owned,160269,160269,2001,1901,"Program plans, MSBA space comparison plans, CAD plans, site plans",539552,"$74,392.00",89310,"$109,794.00",229350,"$29,844.00","$214,030.00",Phase 2,519,519,Yes,No,Yes,Adequate,Adequate,Minor,Moderate,Moderate,Not Present,Replace,Moderate,Not Present,Adequate,Minor,Minor,Adequate,Adequate,Replace,Not Observed,Yes,Yes,Not Observed,Not Observed,Yes,Fair,Listed,Listed,No,No,Poor,Yes,No,No,No,No,Adequate,Moderate,Minor,Moderate,Moderate,Moderate,Minor,Moderate,Not Present,Minor,Fair,Not Researched,No,No,Yes,Fair,Yes
Fenway High,Fenway High School,"67 Alleghany Street Boston, MA 02120",09-dic,Owned,66000,66000,1997,1925,"CAD plans, site plans",272976,"$41,393.00",34253,"$38,544.00",50200,"$6,184.00","$86,121.00",Phase 3,337,337,No,No,No,Adequate,Adequate,Adequate,Adequate,Adequate,Moderate,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Adequate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,No,Fair,Yes,No,No,Yes,No,Adequate,Minor,Adequate,Adequate,Minor,Not Present,Moderate,Adequate,Moderate,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Frederick, Lilla G. Middle",New Boston Pilot Middle School,"270 Columbia Rd Dorchester, MA 02121",06-ago,Owned,144008,144008,2003,2002,"CAD plans, site plans",1177520,"$239,086.00",46741,"$52,294.00",81000,"$12,972.00","$304,352.00",Phase 3,472,472,No,No,Yes,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Adequate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,No,No,No,Adequate,Minor,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Minor,Adequate,Excellent,Not Researched,No,Yes,Yes,Excellent,Yes
Gardner Pilot Academy K-8,Gardner Elementary,"30 Athol St Allston, MA 02134",K1-8,Owned,59196,59196,1906,1906,"CAD plans, site plans",158252,"$26,168.00",21968,"$25,072.00",41900,"$5,121.00","$56,361.00",Phase 3,368,368,Yes,No,Yes,Adequate,Adequate,Minor,Minor,Minor,Moderate,Minor,Adequate,Not Present,Moderate,Replace,Minor,Minor,Minor,Adequate,Yes,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,Yes,Poor,Yes,No,No,Yes,No,Adequate,Minor,Moderate,Adequate,Adequate,Moderate,Minor,Moderate,Adequate,Not Present,Good,Not Researched,No,Yes,Yes,Good,Yes
Greater Egleston Community High,Greater Egleston,"80 School St Roxbury, MA 02119",09-dic,Leased,11400,11400,,1920,"CAD plans, site plans",,,,,,, $-   ,Not Assessed,182,182,,,,,,,,,,,,,,,,,,,,,,,,,Not Assessed,Not Listed,Not Listed,No,No,Not Assessed,,No,No,No,,,,,,,,,,,,Not Assessed,Not Researched,,,,Not Assessed,No
"Greenwood, Elihu Leadership Academy",E. Greenwood Elementary,"612 Metropolitan Ave Hyde Park, MA 02136",None,In Construction,51128,51128,1957,1957,"CAD plans, site plans",35772,"$4,962.00",10507,"$8,287.00",9120,"$1,389.00","$14,638.00",Phase 3,0,0,Yes,No,Yes,Minor,Adequate,Adequate,Adequate,Moderate,Minor,Adequate,Adequate,Not Present,Adequate,Not Present,Adequate,Adequate,Not Present,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,N/A,N/A,Yes,No,No,Yes,No,Replace,Minor,Minor,Moderate,Minor,Not Present,Replace,Minor,Minor,Replace,Fair,Not Researched,No,Yes,Yes,Fair,Yes
"Greenwood, Sarah K-8",Sarah Greenwood,189 Glenway Street,K1-8,Owned,58452,58452,,1925,"CAD plans, site plans",144528,"$23,741.00",22459,"$31,525.00",112900,"$14,476.00","$69,742.00",Phase 3,414,414,Yes,No,Yes,Minor,Adequate,Adequate,Adequate,Moderate,Moderate,Adequate,Minor,Not Present,Minor,Not Present,Not Present,Moderate,Replace,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,N/A,N/A,N/A,No,No,No,Yes,Adequate,Adequate,Minor,Moderate,Not Present,Adequate,Moderate,Minor,Moderate,Minor,Good,Not Researched,No,Yes,Yes,Good,Yes
"Grew, Henry Elementary",Grew Elementary,"40 Gordon Ave Hyde Park, MA 02136",K1-5,Owned,32216,32216,1956,1958,"CAD plans, site plans",102720,"$16,769.00",11528,"$8,779.00",41510,"$5,094.00","$30,642.00",Phase 3,262,262,Yes,No,Yes,Minor,Adequate,Adequate,Minor,Moderate,Moderate,Moderate,Minor,Not Present,Adequate,Adequate,Adequate,Minor,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,No,Fair,Yes,No,No,No,Yes,Minor,Minor,Moderate,Minor,Moderate,Moderate,Moderate,Minor,Adequate,Moderate,Good,Not Researched,No,Yes,Yes,Good,Yes
"Guild, Curtis Elementary",Guild Elementary,"5 Ashley Street/195 Leyden St East Boston, MA 02128",K1-5,Owned,32127,32127,1921,1921,"CAD plans, site plans",124560,"$20,081.00",12857,"$16,084.00",67680,"$8,262.00","$44,427.00",Phase 3,338,338,Yes,No,Yes,Adequate,Adequate,Replace,Minor,Minor,Minor,Adequate,Replace,Not Present,Minor,Adequate,Minor,Minor,Minor,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,Yes,Minor,Minor,Minor,Moderate,Moderate,Minor,Adequate,Moderate,Moderate,Minor,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Hale, Nathan Elementary",Hale Elementary,"51 Cedar St Roxbury, MA 02119",K1-5,Owned,23084,23084,1909,1909,"CAD plans, site plans",114420,"$19,610.00",9841,"$11,742.00",28880,"$3,464.00","$34,816.00",Phase 3,169,169,Yes,No,Yes,Not Present,Adequate,Adequate,Replace,Moderate,Replace,Minor,Moderate,Not Present,Adequate,Replace,Adequate,Minor,Moderate,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Listed,No,No,Poor,No,No,No,No,No,Replace,Moderate,Minor,Replace,Not Present,Moderate,Moderate,Replace,Minor,Moderate,Poor,Not Researched,Yes,Yes,Yes,Poor,No
"Haley K - 8, Dennis",Haley Pilot School,"570 Amer Legion Hwy Roslindale, MA 02131",K1-8,Owned,38993,38993,1973,1971,"CAD plans, site plans",346248,"$56,613.00",15748,"$18,247.00",56230,"$8,303.00","$83,163.00",Phase 3,452,452,Yes,No,Yes,Adequate,Minor,Minor,Minor,Minor,Moderate,Minor,Minor,Adequate,Adequate,Minor,Minor,Moderate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,No,Poor,Yes,No,No,Yes,No,Replace,Moderate,Adequate,Minor,Minor,Minor,Minor,Minor,Minor,Adequate,Good,Not Researched,No,Yes,Yes,Good,Yes
"Hamilton, Alexander",,"198 Strathmore Road, Brighton",None,Closed,31570,31570,1924,,"CAD plans, site plans",62240,"$9,932.00",11755,"$13,910.00",27820,"$3,354.00","$27,196.00",Phase 3,0,0,No,No,Yes,Minor,Adequate,Replace,Adequate,Moderate,Moderate,Minor,Minor,Not Present,Moderate,Moderate,Adequate,Minor,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,Yes,Fair,Yes,No,No,No,Yes,Moderate,Minor,Replace,Minor,Not Present,Moderate,Moderate,Minor,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Harvard/Kent Elementary,Harvard/Kent Elementary,"50 Bunker Hill St Charlestown, MA 02129",K0-5,Owned,93350,93350,1972,1971,"CAD plans, site plans",310860,"$77,142.00",65279,"$73,556.00",102210,"$12,886.00","$163,584.00",Phase 3,520,520,Yes,No,Yes,Moderate,Adequate,Minor,Minor,Moderate,Replace,Minor,Minor,Not Present,Minor,Moderate,Minor,Minor,Moderate,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,Yes,No,Poor,Yes,No,Yes,Yes,No,Minor,Minor,Moderate,Moderate,Moderate,Minor,Moderate,Moderate,Adequate,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Haynes Early Education Center,Haynes EEC,"263 Blue Hill Ave Roxbury, MA 02119",K0-1,Owned,35500,35500,1998,1998,"CAD plans, site plans",276700,"$62,116.00",18772,"$21,587.00",50940,"$7,619.00","$91,322.00",Phase 3,175,175,Yes,No,Yes,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,No,No,Yes,Moderate,Minor,Adequate,Adequate,Adequate,Adequate,Moderate,Adequate,Adequate,Not Present,Good,Not Researched,No,Yes,Yes,Good,Yes
"Henderson, Dr. William W. Inclusion (Lower School)",O'Hearn Elementary,"1669 Dorchester Ave Dorchester, MA 02122",K0-4,Owned,30381,30381,2009,1972,"Program plans, MSBA space comparison plans, CAD plans, site plans",82360,"$13,059.00",28093,"$32,237.00",35190,"$4,594.00","$49,890.00",Phase 1,648,217,Yes,No,Yes,Moderate,Moderate,Replace,Minor,Replace,Replace,Minor,Moderate,Not Present,Minor,Moderate,Adequate,Replace,Replace,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Not Present,Adequate,Moderate,Moderate,Replace,Minor,Moderate,Moderate,Minor,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Henderson, Dr. William W. Inclusion (Upper School)",Wilson,"18 Croftland Avenue Dorchester, MA 02124",05-dic,Owned,97130,97130,2009,1932,"Program plans, MSBA space comparison plans, CAD plans, site plans",249096,"$40,178.00",47648,"$60,996.00",46750,"$5,751.00","$106,925.00",Phase 1,648,431,Yes,No,Yes,Replace,Moderate,Replace,Moderate,Replace,Replace,Replace,Moderate,Not Present,Minor,Replace,Adequate,Replace,Minor,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Fair,Not Listed,Not Listed,Yes,No,Poor,Yes,No,No,Yes,Yes,Adequate,Minor,Minor,Moderate,Moderate,Not Present,Moderate,Minor,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Hennigan, James W. K-8*",Hennigan Elementary School,"200 Heath St Jamaica Plain, MA 02130",K2-7,Owned,137800,110800,1972,1972,"CAD plans, site plans",120384,"$74,435.00",267450,"$276,004.00",287880,"$37,653.00","$388,092.00",Phase 3,624,717,Yes,No,Yes,Moderate,Adequate,Minor,Adequate,Adequate,Minor,Minor,Minor,Not Present,Minor,Adequate,Minor,Moderate,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Minor,Moderate,Moderate,Moderate,Moderate,Minor,Minor,Minor,Minor,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Hernandez, Rafael K-8",Hernandez,"61 School St Roxbury, MA 02119",K1-8,Owned,64313,64313,1923,1923,"CAD plans, site plans",134730,"$19,389.00",34872,"$39,700.00",78440,"$9,801.00","$68,890.00",Phase 3,399,399,Yes,No,Yes,Replace,Adequate,Minor,Moderate,Moderate,Replace,Minor,Moderate,Not Present,Minor,Moderate,Minor,Replace,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,Yes,No,Poor,Yes,No,No,No,Yes,Moderate,Minor,Replace,Moderate,Not Present,Adequate,Minor,Minor,Minor,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Higginson Elementary,Higginson,"160 Harrishof Street Roxbury, MA 02119",K0-2,Owned,22968,22968,,1922,"CAD plans, site plans",71120,"$12,466.00",11649,"$13,718.00",41754,"$5,128.00","$31,312.00",Phase 3,186,186,Yes,No,Yes,Minor,Adequate,Replace,Replace,Moderate,Moderate,Minor,Replace,Not Present,Moderate,Adequate,Minor,Replace,Moderate,Not Present,Not Observed,Yes,Not Observed,Not Observed,Yes,Yes,Fair,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Replace,Minor,Minor,Replace,Not Present,Minor,Moderate,Moderate,Moderate,Moderate,Fair,Not Researched,Yes,No,Yes,Fair,No
Higginson/Lewis K-8,Lewis,"131 Walnut Ave Roxbury, MA 02119",K1-8,Owned,76220,76220,1911,1912,"CAD plans, site plans",151240,"$24,093.00",26498,"$36,674.00",104100,"$13,389.00","$74,156.00",Phase 3,406,406,Yes,No,Yes,Minor,Adequate,Replace,Minor,Moderate,Replace,Minor,Moderate,Not Present,Replace,Replace,Minor,Moderate,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,Yes,Fair,Yes,No,No,Yes,No,Replace,Moderate,Adequate,Moderate,Not Present,Minor,Replace,Moderate,Adequate,Replace,Fair,Not Researched,No,Yes,Yes,Fair,Yes
"Holmes, Oliver Wendell Elementary",Holmes Elementary,"40 School St Dorchester, MA 02124",K1-5,Owned,60280,60280,1906,1905,"CAD plans, site plans",158496,"$23,226.00",19269,"$22,583.00",101110,"$12,858.00","$58,667.00",Phase 3,367,367,Yes,No,Yes,Minor,Adequate,Minor,Moderate,Replace,Replace,Moderate,Moderate,Not Present,Moderate,Moderate,Minor,Replace,Replace,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Not Present,Minor,Minor,Minor,Minor,Replace,Minor,Minor,Minor,Minor,Fair,Not Researched,No,Yes,Yes,Fair,Yes
Horace Mann School for the Deaf and Hard of Hearing*,Horace Mann School,"40 Armington St Allston, MA 02134",K0-12,Owned,34220,34220,1975,1975,"CAD plans, site plans",744520,"$196,134.00",257595,"$258,136.00",217680,"$29,828.00","$484,098.00",Phase 3,101,876,Yes,No,Yes,Minor,Adequate,Moderate,Minor,Minor,Moderate,Minor,Adequate,Moderate,Minor,Moderate,Adequate,Moderate,Minor,Adequate,Yes,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,Yes,Good,Yes,No,No,No,No,Moderate,Replace,Minor,Moderate,Moderate,Replace,Adequate,Minor,Minor,Adequate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Hurley, Joseph K-8",Hurley,"70 Worcester St Boston, MA 02118",K0-8,Owned,41479,41479,1961,1961,"CAD plans, site plans",125360,"$21,768.00",22480,"$25,977.00",33880,"$4,414.00","$52,159.00",Phase 3,346,346,Yes,No,Yes,Minor,Adequate,Adequate,Adequate,Minor,Moderate,Minor,Adequate,Moderate,Moderate,Adequate,Minor,Minor,Minor,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,No,Fair,Yes,No,Yes,Yes,No,Minor,Minor,Moderate,Minor,Replace,Moderate,Minor,Minor,Adequate,Minor,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Irving, Washington Middle",Irving Middle,"105 Cummins Hgwy Roslindale, MA 02131",05-ago,Owned,110377,110377,1936,1937,"CAD plans, site plans",316596,"$43,067.00",48815,"$59,636.00",51640,"$6,365.00","$109,068.00",Phase 3,380,380,Yes,No,Yes,Adequate,Adequate,Adequate,Minor,Minor,Moderate,Minor,Minor,Not Present,Adequate,Minor,Moderate,Moderate,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,Yes,Fair,Yes,No,No,No,Yes,Moderate,Minor,Adequate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Jackson/Mann K-8*,Horace Mann School,"40 Armington St Allston, MA 02134",K1-8,Owned,167604,167604,1975,1975,"CAD plans, site plans",744520,"$196,134.00",257595,"$258,136.00",217680,"$29,828.00","$484,098.00",Phase 3,775,876,Yes,No,Yes,Minor,Adequate,Moderate,Minor,Minor,Moderate,Minor,Adequate,Moderate,Minor,Moderate,Adequate,Moderate,Minor,Adequate,Yes,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,Yes,Good,Yes,No,No,No,No,Moderate,Replace,Minor,Moderate,Moderate,Replace,Adequate,Minor,Minor,Adequate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Kennedy, Edward M. Academy for Health Careers 11-12",EMK Health Careers Academy,"110 The Fenway Boston, MA 02115",11-dic,Leased,8930,8930,,,"CAD plans, site plans",,,,,,, $-   ,Not Assessed,359,166,,,,,,,,,,,,,,,,,,,,,,,,,Not Assessed,Not Listed,Not Listed,,,Not Assessed,,,,,,,,,,,,,,,,Not Assessed,Not Researched,,,,Not Assessed,
"Kennedy, Edward M. Academy for Health Careers 9-10",Farragut,"10 Fenwood Street Boston, MA",09-oct,Owned,35055,35055,,1904,"CAD plans, site plans",113600,"$16,940.00",11928,"$14,013.00",51170,"$7,192.00","$38,145.00",Phase 3,359,193,Yes,No,Yes,Adequate,Adequate,Moderate,Adequate,Minor,Minor,Adequate,Moderate,Adequate,Adequate,Moderate,Minor,Minor,Minor,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,No,Adequate,Minor,Not Present,Not Present,Not Present,Not Present,Minor,Minor,Not Present,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Kennedy, John F Elementary",JFK Elementary,"7 Bolster St Jamaica Plain, MA 02130",K1-5,Owned,49194,49194,1963,1963,"CAD plans, site plans",117816,"$20,248.00",28390,"$32,656.00",101850,"$13,660.00","$66,564.00",Phase 3,394,394,Yes,No,Yes,Replace,Adequate,Adequate,Minor,Moderate,Moderate,Adequate,Minor,Replace,Replace,Adequate,Minor,Moderate,Moderate,Replace,Not Observed,Not Observed,Not Observed,Yes,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Moderate,Minor,Minor,Replace,Moderate,Minor,Adequate,Moderate,Moderate,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
